check_id,taxonomy,scope,parent_major_code,industry_code,capital_size_code,metric_id,measure,expected_oku_yen,actual_oku_yen,difference_oku_yen,tolerance_oku_yen,status
leaf_parent_105_19_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,sales,yoy_delta,-1991.25,-1991.2499999999993,6.821210263296962e-13,0.01,PASS
leaf_parent_105_19_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,operating_profit,current,331.55,331.55,0.0,0.01,PASS
leaf_parent_105_19_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,operating_profit,previous,-171.51,-171.51,0.0,0.01,PASS
leaf_parent_105_19_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,operating_profit,yoy_delta,503.06,503.06,0.0,0.01,PASS
leaf_parent_105_19_ordinary_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,ordinary_profit,current,701.51,701.51,0.0,0.01,PASS
leaf_parent_105_19_ordinary_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,ordinary_profit,previous,112.45,112.44999999999999,-1.4210854715202004e-14,0.01,PASS
leaf_parent_105_19_ordinary_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,ordinary_profit,yoy_delta,589.06,589.0600000000001,1.1368683772161603e-13,0.01,PASS
leaf_parent_105_19_capex_including_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,capex_including_software,current,300.68,300.68,0.0,0.01,PASS
leaf_parent_105_19_capex_including_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,capex_including_software,previous,327.05,327.04999999999995,-5.684341886080802e-14,0.01,PASS
leaf_parent_105_19_capex_including_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,capex_including_software,yoy_delta,-26.370000000000005,-26.369999999999976,2.842170943040401e-14,0.01,PASS
leaf_parent_105_19_capex_excluding_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,capex_excluding_software,current,286.88,286.88,0.0,0.01,PASS
leaf_parent_105_19_capex_excluding_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,capex_excluding_software,previous,325.09,325.09000000000003,5.684341886080802e-14,0.01,PASS
leaf_parent_105_19_capex_excluding_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,19,capex_excluding_software,yoy_delta,-38.20999999999998,-38.21000000000001,-2.842170943040401e-14,0.01,PASS
leaf_parent_105_24_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,24,sales,current,1093.06,1093.06,0.0,0.01,PASS
leaf_parent_105_24_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,24,sales,previous,1136.2,1136.2,0.0,0.01,PASS
leaf_parent_105_24_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,24,sales,yoy_delta,-43.1400000000001,-43.14000000000007,2.842170943040401e-14,0.01,PASS
leaf_parent_105_24_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,105,,24,operating_profit,current,-82.33,-82.33,0.0,0.01,PASS
leaf_parent_105_24_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,105,,24,operating_profit,previous,-18.12,-18.12,0.0,0.01,PASS
leaf_parent_105_24_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,105,,24,operating_profit,yoy_delta,-64.21,-64.21,0.0,0.01,PASS
