year,pref,計,針葉樹_計,針葉樹_あかまつ・くろまつ,針葉樹_すぎ,針葉樹_ひのき,針葉樹_もみ・つが,針葉樹_からまつ,針葉樹_えぞまつ・とどまつ,針葉樹_その他,広葉樹_計,広葉樹_なら,広葉樹_ぶな,広葉樹_その他
1963,東京都,164.0,147.0,12.0,83.0,35.0,13.0,,3.0,1.0,17.0,1.0,1.0,15.0
1963,栃木県,782.0,647.0,108.0,323.0,146.0,45.0,,13.0,12.0,135.0,17.0,29.0,89.0
1963,沖縄県,,,,,,,,,,,,,
1963,滋賀県,379.0,341.0,157.0,130.0,51.0,2.0,,0.0,1.0,38.0,0.0,6.0,32.0
1963,熊本県,1351.0,1008.0,235.0,487.0,235.0,43.0,,2.0,6.0,343.0,6.0,9.0,328.0
1963,石川県,467.0,443.0,127.0,248.0,15.0,7.0,,0.0,46.0,24.0,0.0,5.0,19.0
1963,神奈川県,126.0,105.0,24.0,51.0,24.0,3.0,,2.0,1.0,21.0,0.0,3.0,18.0
1963,福井県,450.0,311.0,87.0,204.0,16.0,1.0,,2.0,1.0,139.0,8.0,35.0,96.0
1963,福岡県,722.0,608.0,181.0,314.0,110.0,2.0,,0.0,1.0,114.0,2.0,2.0,110.0
1963,福島県,1538.0,968.0,334.0,446.0,102.0,27.0,,38.0,21.0,570.0,39.0,201.0,330.0
1963,秋田県,1905.0,1441.0,97.0,1282.0,3.0,0.0,,20.0,29.0,464.0,29.0,301.0,134.0
1963,群馬県,751.0,512.0,52.0,230.0,68.0,22.0,,119.0,21.0,239.0,18.0,76.0,145.0
1963,茨城県,616.0,559.0,198.0,246.0,112.0,1.0,,1.0,1.0,57.0,6.0,7.0,44.0
1963,長崎県,348.0,256.0,125.0,68.0,60.0,2.0,,0.0,1.0,92.0,0.0,1.0,91.0
1963,長野県,2120.0,1616.0,308.0,120.0,237.0,239.0,,451.0,261.0,504.0,34.0,96.0,374.0
1963,青森県,1291.0,1014.0,229.0,445.0,4.0,0.0,,24.0,312.0,277.0,11.0,130.0,136.0
1963,静岡県,1615.0,1404.0,181.0,659.0,417.0,127.0,,6.0,14.0,211.0,6.0,21.0,184.0
1963,香川県,145.0,134.0,104.0,10.0,19.0,1.0,,,0.0,11.0,0.0,0.0,11.0
1963,高知県,1164.0,900.0,192.0,316.0,220.0,165.0,,1.0,6.0,264.0,3.0,23.0,238.0
1963,鳥取県,517.0,382.0,129.0,194.0,54.0,1.0,,4.0,0.0,135.0,5.0,27.0,103.0
